Title,Year,Duration,Certificate,Rating,Image URL
The Prestige,2006,2h 10m,PG-13,8.5,"https://m.media-amazon.com/images/M/MV5BM2Y0YmM5MWYtZTYzNi00ZjU5LTlmOGYtZDQ4ODQyMjAzNjQ2XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
American History X,1998,1h 59m,R,8.5,"https://m.media-amazon.com/images/M/MV5BMzhiOTQ0NDItOTg0Zi00OGVmLWE0OGEtMTI4NDM0NWMxZWU4XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
Léon: The Professional,1994,1h 50m,R,8.5,"https://m.media-amazon.com/images/M/MV5BNGRkYTNhOWQtYmI0Ni00MjZhLWJmMzAtMTA2Mjg4NGNiNDU0XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.5,"https://m.media-amazon.com/images/M/MV5BNThiZjA3MjItZGY5Ni00ZmJhLWEwN2EtOTBlYTA4Y2E0M2ZmXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
Cinema Paradiso,1988,2h 54m,PG,8.5,"https://m.media-amazon.com/images/M/MV5BMTljNzc4YWEtYTZlMS00ODMyLWIwMTAtNWQxY2VkMDEwYTk5XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
Casablanca,1942,1h 42m,PG,8.5,"https://m.media-amazon.com/images/M/MV5BNWEzN2U1YTYtYTQyMS00NTVkLWE2NGQtZWFlMmM0MDNjMmRiXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
The Intouchables,2011,1h 52m,R,8.5,"https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
The Usual Suspects,1995,1h 46m,R,8.5,"https://m.media-amazon.com/images/M/MV5BOTE5MDUxZDUtZWZmZC00NDVmLWFhOGQtNWI2YTc4NzY3MGQ0XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
Django Unchained,2012,2h 45m,R,8.5,"https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
Alien,1979,1h 57m,R,8.4,"https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
Rear Window,1954,1h 52m,PG,8.4,"https://m.media-amazon.com/images/M/MV5BODZhOWI1ODgtMzdiOS00YjNkLTgwOGUtYmIyZDg5ZmQwMzQ1XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
Modern Times,1936,1h 27m,G,8.5,"https://m.media-amazon.com/images/M/MV5BODVkZGFhNGQtYjdiYi00Njc4LWFmYTItNTlmNzJjMTg1ZDc5XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
Once Upon a Time in the West,1968,2h 25m,PG-13,8.5,"https://m.media-amazon.com/images/M/MV5BZjYyNGY1MDEtN2I1MC00MGVhLTljZTYtODQ1NzQ0ODc2NzZlXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
